9638854	180731767	03/14/2018	03/14/2018	15:30:00	03/14/2018	16:30:00	504			969 MARIETTA ST NW	0640	2305		1	Eve	Wed	18	LARCENY-FROM VEHICLE	Marietta Street Artery	E	-84.409310000000005	33.778759999999998
9638855	180731780	03/14/2018	03/07/2018	20:00:00	03/14/2018	17:00:00	204			1715 HOWELL MILL RD NW @Multiple	0690	2399		2	Unk	Unk	99	LARCENY-NON VEHICLE	Berkeley Park	D	-84.415700000000001	33.800890000000003
9638856	180731868	03/14/2018	03/14/2018	17:32:00	03/14/2018	17:40:00	211			2452 MOROSGO WAY NE	0630	2303		1	Eve	Wed	12	LARCENY-NON VEHICLE	Lindbergh/Morosgo	B	-84.365589999999997	33.822949999999999
9638857	180731918	03/14/2018	03/14/2018	17:40:00	03/14/2018	17:45:00	107			2045 DONALD LEE HOLLOWELL PKWY NW	0640	2305		1	Eve	Wed	8	LARCENY-FROM VEHICLE	Grove Park	J	-84.45214	33.7774
9638858	180731928	03/14/2018	03/14/2018	16:30:00	03/14/2018	16:50:00	211			3097 PIEDMONT RD NE	0640	2305		2	Eve	Wed	18	LARCENY-FROM VEHICLE	Peachtree Park	B	-84.368870000000001	33.840339999999998
9638859	180731995	03/14/2018	03/14/2018	18:00:00	03/14/2018	18:23:00	109			2493 OLDKNOW DR NW	0640	2305		1	Eve	Wed	13	LARCENY-FROM VEHICLE	Center Hill	J	-84.468689999999995	33.771970000000003
9638860	180732014	03/14/2018	03/14/2018	11:10:00	03/14/2018	11:30:00	208			3232 PEACHTREE RD NE	0690	2399		1	Day	Wed	99	LARCENY-NON VEHICLE	Buckhead Forest	B	-84.374089999999995	33.84413
9638861	180732210	03/14/2018	02/04/2018	15:00:00	03/14/2018	20:07:00	211		1247	2399 PARKLAND DR NE	0512	2203		1	Unk	Unk	99	BURGLARY-NONRES	Lindbergh/Morosgo	B	-84.364810000000006	33.820099999999996
9638862	180738022	03/14/2018	01/26/2018	10:30:00	02/26/2018	20:00:00	706			6000 S TERMINAL PKWY	0690	2399		1	Unk	Unk	1	LARCENY-NON VEHICLE			-84.448239999999998	33.637509999999999
9638863	180738047	03/14/2018	03/14/2018	07:05:00	03/14/2018	07:05:00	703			8700 SPINE RD	0670	2308		1	Day	Wed	1	LARCENY-NON VEHICLE			-84.447699999999998	33.641840000000002
